Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Coast to Mountain;Total matches;217
15/03/2025;13:00 UTC;[Age of Empires II];The Garrison: Amateur Event AoE2 1v1 [The Garrison/Amateur Event/AoE2/1v1];Coast to Mountain [Coast to Mountain];1v1;Mighty Space Fruit [Mighty Space Fruit (page does not exist)] [United States] [United States] [Armenians] [Armenians];<;Emil :D [Huns] [Huns] [Denmark] [Denmark] [Emil :D];;Armenians;Huns;Huns;FALSE;Khitans;0;0;0%;0,00;Coast to Mountain;;
15/03/2025;12:00 UTC;[Age of Empires II];The Garrison [The Garrison];Coast to Mountain [Coast to Mountain];1v1;TaToH [TaToH] [Spain] [Spain] [Persians] [Persians];<;TheViper [Berbers] [Berbers] [Norway] [Norway] [TheViper];(G4) [Watch VOD] [Watch VOD];Persians;Berbers;Berbers;FALSE;Khmer;4;2;50%;54,54;Coast to Mountain;;
13/03/2025;19:25 UTC;[Age of Empires II];The Garrison [The Garrison];Coast to Mountain [Coast to Mountain];1v1;TaToH [TaToH] [Spain] [Spain] [Lithuanians] [Lithuanians];<;Hera [Persians] [Persians] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Lithuanians;Persians;Persians;FALSE;Koreans;2;0;0%;0,00;Coast to Mountain;;
05/01/2025;22:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Vinchester [Vinchester] [Russia] [Russia] [Berbers] [Berbers];<;Hearttt [Persians] [Persians] [Peru] [Peru] [Hearttt];(G3) [Watch VOD] [Watch VOD];Berbers;Persians;Persians;FALSE;Lithuanians;25;13;52%;62,68;Coast to Mountain;;
05/01/2025;18:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Mongols] [Mongols];>;KingstoNe [Lithuanians] [Lithuanians] [Mexico] [Mexico] [KingstoNe];(G1) [Watch VOD] [Watch VOD];Mongols;Lithuanians;Mongols;FALSE;Magyars;0;0;0%;0,00;Coast to Mountain;;
05/01/2025;12:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Persians] [Persians];<;TaToH [Georgians] [Georgians] [Spain] [Spain] [TaToH];;Persians;Georgians;Georgians;FALSE;Malay;14;7;50%;58,72;Coast to Mountain;;
04/01/2025;18:20 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Capoch [Capoch] [Argentina] [Argentina] [Malians] [Malians];<;Hearttt [Chinese] [Chinese] [Peru] [Peru] [Hearttt];;Malians;Chinese;Chinese;FALSE;Malians;53;27;51%;65,06;Coast to Mountain;;
04/01/2025;17:25 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;KingstoNe [KingstoNe] [Mexico] [Mexico] [Byzantines] [Byzantines];>;Sebastian [Japanese] [Japanese] [Uruguay] [Uruguay] [Sebastian];;Byzantines;Japanese;Byzantines;FALSE;Mapuche;0;0;0%;0,00;Coast to Mountain;;
04/01/2025;17:10 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Persians] [Persians];<;Barles [Berbers] [Berbers] [Poland] [Poland] [Barles];;Persians;Berbers;Berbers;FALSE;Mayans;0;0;0%;0,00;Coast to Mountain;;
04/01/2025;16:30 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Berbers] [Berbers];<;DauT [Goths] [Goths] [Serbia] [Serbia] [DauT];;Berbers;Goths;Goths;FALSE;Mongols;43;27;63%;76,09;Coast to Mountain;;
