Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Islands;Total matches;184
10/02/2024;14:10 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Hearttt [Hearttt] [Peru] [Peru] [Italians] [Italians];<;TaToH [Vikings] [Vikings] [Spain] [Spain] [TaToH];(G4) [Watch VOD] [Watch VOD];Italians;Vikings;Vikings;FALSE;Malians;0;0;0%;0,00;Islands;;
09/02/2024;20:15 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;TheMbL [MbL] [Norway] [Norway] [Vikings] [Vikings];>;Ganji [Dravidians] [Dravidians] [Sweden] [Sweden] [Ganji];(G2) [Watch VOD] [Watch VOD];Vikings;Dravidians;Vikings;FALSE;Mapuche;0;0;0%;0,00;Islands;;
09/02/2024;17:40 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Sobek [Sobek] [Chile] [Chile] [Italians] [Italians];<;Sitaux [Armenians] [Armenians] [France] [France] [Sitaux];(G3) [Watch VOD] [Watch VOD];Italians;Armenians;Armenians;FALSE;Mayans;2;0;0%;0,00;Islands;;
09/02/2024;14:10 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Italians] [Italians];>;Vinchester [Vikings] [Vikings] [Russia] [Russia] [Vinchester];(G4) [Watch VOD] [Watch VOD];Italians;Vikings;Italians;FALSE;Mongols;2;0;0%;0,00;Islands;;
06/02/2024;14:00 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Armenians] [Armenians];>;Margougou [Vikings] [Vikings] [France] [France] [Margougou];(G3) [Watch VOD] [Watch VOD];Armenians;Vikings;Armenians;FALSE;Muisca;0;0;0%;0,00;Islands;;
04/02/2024;17:00 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Capoch [Capoch] [Argentina] [Argentina] [Vikings] [Vikings];>;TheMbL [Dravidians] [Dravidians] [Norway] [Norway] [MbL];(G1) [Watch VOD] [Watch VOD];Vikings;Dravidians;Vikings;FALSE;Persians;5;1;20%;10,98;Islands;;
31/01/2024;19:00 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Ozone [Ozone] [Colombia] [Colombia] [Italians] [Italians];<;Ganji [Dravidians] [Dravidians] [Sweden] [Sweden] [Ganji];(G3) [Watch VOD] [Watch VOD];Italians;Dravidians;Dravidians;FALSE;Poles;0;0;0%;0,00;Islands;;
30/01/2024;20:30 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;DracKeN [DracKeN] [Czechia] [Czechia] [Dravidians] [Dravidians];<;F1Re [Italians] [Italians] [Brazil] [Brazil] [F1Re];(G2) [Watch VOD] [Watch VOD];Dravidians;Italians;Italians;FALSE;Portuguese;42;23;55%;68,75;Islands;;
30/01/2024;17:00 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Andre_2i [Andre 2i (page does not exist)] [Romania] [Romania] [Portuguese] [Portuguese];<;dogao [Italians] [Italians] [Brazil] [Brazil] [Dogao];(G1) [Watch VOD] [Watch VOD];Portuguese;Italians;Italians;FALSE;Puru;0;0;0%;0,00;Islands;;
30/01/2024;15:30 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Bad Koala [Bad Koala] [China] [China] [Portuguese] [Portuguese];<;FreakinAndy [Vikings] [Vikings] [Austria] [Austria] [FreakinAndy];(G1) [Watch VOD] [Watch VOD];Portuguese;Vikings;Vikings;FALSE;Romans;1;1;100%;56,97;Islands;;
27/01/2024;15:00 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Overtaken [Overtaken] [Estonia] [Estonia] [Vikings] [Vikings];<;Mihai06 [Italians] [Italians] [Romania] [Romania] [Mihai06];(G2) [Watch VOD] [Watch VOD];Vikings;Italians;Italians;FALSE;Saracens;8;3;38%;44,49;Islands;;
26/01/2024;17:00 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Dratek [Dratek] [Czechia] [Czechia] [Italians] [Italians];>;The_Dragonstar [Persians] [Persians] [India] [India] [The Dragonstar];(G2) [Watch VOD] [Watch VOD];Italians;Persians;Italians;FALSE;Shu;2;1;50%;53,20;Islands;;
24/01/2024;17:00 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Kamigawa [Kamigawa] [Italy] [Italy] [Koreans] [Koreans];<;FreakinAndy [Portuguese] [Portuguese] [Austria] [Austria] [FreakinAndy];[Watch VOD] [Watch VOD];Koreans;Portuguese;Portuguese;FALSE;Sicilians;0;0;0%;0,00;Islands;;
28/11/2023;18:30 UTC;[Age of Empires II];GB Hidden Cup 2 [GB Hidden Cup/2];Islands [Islands];1v1;Hallis [Hallis] [United Kingdom] [United Kingdom] [Portuguese] [Portuguese];<;King_Boo [Vikings] [Vikings] [United Kingdom] [United Kingdom] [King Boo];(G6) [Watch VOD] [Watch VOD];Portuguese;Vikings;Vikings;FALSE;Slavs;0;0;0%;0,00;Islands;;
23/11/2023;18:00 UTC;[Age of Empires II];GB Hidden Cup 2 [GB Hidden Cup/2];Islands [Islands];1v1;dave_hun [Dave hun] [Hungary] [Hungary] [Dravidians] [Dravidians];<;Hallis [Vikings] [Vikings] [United Kingdom] [United Kingdom] [Hallis];(G1) [Watch VOD] [Watch VOD];Dravidians;Vikings;Vikings;FALSE;Spanish;0;0;0%;0,00;Islands;;
10/10/2023;15:00 UTC;[Age of Empires II];Clash of the Titans II: Promo Invitational [Clash of the Titans/2/Promo Invitational];Islands [Islands];1v1;Yo [Yo] [China] [China] [Spanish] [Spanish];>;TheViper [Spanish] [Spanish] [Norway] [Norway] [TheViper];(G4) [Watch VOD] [Watch VOD];Spanish;Spanish;Spanish;TRUE;Tatars;0;0;0%;0,00;Islands;;
25/06/2023;15:00 UTC;[Age of Empires II];TaToH vs TheViper [TaToH vs TheViper];Islands [Islands];1v1;TheViper [TheViper] [Norway] [Norway] [Portuguese] [Portuguese];>;TaToH [Italians] [Italians] [Spain] [Spain] [TaToH];(G7) [Watch VOD] [Watch VOD];Portuguese;Italians;Portuguese;FALSE;Teutons;1;1;100%;56,97;Islands;;
03/05/2023;17:00 UTC;[Age of Empires II];Tiny Maps Showmatch #1: JonSlow vs Rmcoo [JonSlow vs Rmcoo/1];Islands [Islands];1v1;Rmcoo [Rmcoo] [Lithuania] [Lithuania] [Portuguese] [Portuguese];>;JonSlow [Italians] [Italians] [Israel] [Israel] [JonSlow];[Watch VOD] [Watch VOD];Portuguese;Italians;Portuguese;FALSE;Tupi;0;0;0%;0,00;Islands;;
18/02/2023;19:00 UTC;[Age of Mythology];Fimbulwinter 3 [Fimbulwinter/3];Islands [Islands];1v1;Count_Von_Count [Count Von Count] [Netherlands] [Netherlands] [Thor] [Thor];<;ULysses [Loki] [Loki] [Chile] [Chile] [Ulysses];(G1) [Watch VOD] [Watch VOD];Thor;Loki;Loki;FALSE;Turks;1;0;0%;0,00;Islands;;
10/02/2023;18:20 UTC;[Age of Empires II];Sitaux vs Vinchester (2) [Sitaux vs Vinchester/2];Islands [Islands];1v1;Vinchester [Vinchester] [Russia] [Russia] [Vikings] [Vikings];>;Sitaux [Italians] [Italians] [France] [France] [Sitaux];(G3) [Watch VOD] [Watch VOD];Vikings;Italians;Vikings;FALSE;Vietnamese;1;0;0%;0,00;Islands;;
06/02/2023;;[Age of Mythology];Fimbulwinter 3 [Fimbulwinter/3];Islands [Islands];1v1;marc0s [M4rcos] [Peru] [Peru] [Loki] [Loki];<;Gaboo21 [Loki] [Loki] [Argentina] [Argentina] [Gaboo21];(G1) [Watch VOD] [Watch VOD];Loki;Loki;Loki;TRUE;Vikings;76;40;53%;69,37;Islands;;
19/12/2022;17:00 UTC;[Age of Empires II];HunLeague 22 [HunLeague 22];Islands [Islands];1v1;trombone [Trombone] [Hungary] [Hungary] [Portuguese] [Portuguese];>;dave_hun [Vikings] [Vikings] [Hungary] [Hungary] [Dave hun];(G5) [Watch VOD] [Watch VOD];Portuguese;Vikings;Portuguese;FALSE;Wei;0;0;0%;0,00;Islands;;
07/12/2022;18:00 UTC;[Age of Empires II];HunLeague 22 [HunLeague 22];Islands [Islands];1v1;rosso [Rosso (page does not exist)] [Hungary] [Hungary] [Italians] [Italians];<;dave_hun [Vikings] [Vikings] [Hungary] [Hungary] [Dave hun];(G2) [Watch VOD] [Watch VOD];Italians;Vikings;Vikings;FALSE;Wu;2;1;50%;53,20;Islands;;
04/12/2022;;[Age of Empires II];HunLeague 22 [HunLeague 22];Islands [Islands];1v1;kunyi [Kunyi] [Hungary] [Hungary] [Italians] [Italians];<;dave_hun [Vikings] [Vikings] [Hungary] [Hungary] [Dave hun];(G2) [Watch VOD] [Watch VOD];Italians;Vikings;Vikings;FALSE;;;;;;Islands;;
26/11/2022;19:30 UTC;[Age of Empires II];Warlords [Warlords/1];Islands [Islands];1v1;Liereyy [Liereyy] [Austria] [Austria] [Vikings] [Vikings];<;TheViper [Italians] [Italians] [Norway] [Norway] [TheViper];(G1) [Watch VOD] [Watch VOD];Vikings;Italians;Italians;FALSE;;;;;;Islands;;
19/11/2022;21:30 UTC;[Age of Empires II];Warlords [Warlords/1];Islands [Islands];1v1;Hera [Hera] [Canada] [Canada] [Vikings] [Vikings];>;TaToH [Italians] [Italians] [Spain] [Spain] [TaToH];(G3) [Watch VOD] [Watch VOD];Vikings;Italians;Vikings;FALSE;;;;;;Islands;;
13/11/2022;16:00 UTC;[Age of Empires II];Warlords [Warlords/1];Islands [Islands];1v1;Nicov [Nicov] [Argentina] [Argentina] [Dravidians] [Dravidians];>;Yo [Italians] [Italians] [China] [China] [Yo];(G5) [Watch VOD] [Watch VOD];Dravidians;Italians;Dravidians;FALSE;;;;;;Islands;;
12/11/2022;17:00 UTC;[Age of Empires II];HunLeague 22 [HunLeague 22];Islands [Islands];1v1;overkill [Overkill (page does not exist)] [Hungary] [Hungary] [Dravidians] [Dravidians];>;GyoreE [Portuguese] [Portuguese] [Hungary] [Hungary] [GyoreE (page does not exist)];(G2) [Watch VOD] [Watch VOD];Dravidians;Portuguese;Dravidians;FALSE;;;;;;Islands;;
11/11/2022;16:00 UTC;[Age of Empires II];Warlords [Warlords/1];Islands [Islands];1v1;Valas [Valas] [Finland] [Finland] [Italians] [Italians];<;Vinchester [Byzantines] [Byzantines] [Russia] [Russia] [Vinchester];(G5) [Watch VOD] [Watch VOD];Italians;Byzantines;Byzantines;FALSE;;;;;;Islands;;
05/11/2022;17:00 UTC;[Age of Empires II];Warlords: Qualifier [Warlords/1/Qualifier];Islands [Islands];1v1;Daniel [Daniel] [United States] [United States] [Dravidians] [Dravidians];>;miguel [Italians] [Italians] [Brazil] [Brazil] [Miguel];[Watch VOD] [Watch VOD];Dravidians;Italians;Dravidians;FALSE;;;;;;Islands;;
04/11/2022;16:00 UTC;[Age of Empires II];Free Money Friday 1: ACCM vs Sitaux [Free Money Friday/1];Islands [Islands];1v1;Sitaux [Sitaux] [France] [France] [Japanese] [Japanese];>;ACCM [Italians] [Italians] [Vietnam] [Vietnam] [ACCM];(G4) [Watch VOD] [Watch VOD];Japanese;Italians;Japanese;FALSE;;;;;;Islands;;
