Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;191
18/02/2024;01:00 UTC;[Age of Empires II];Fight Club Monthly #3 [Fight Club Monthly/3];MegaRandom [MegaRandom];1v1;D4NI3L J0N35 [D4NI3L J0N35 (page does not exist)] [Wales] [Wales] [Magyars] [Magyars];<;SoloGhostAK47 [Goths] [Goths] [United States] [United States] [SoloGhostAK47];;Magyars;Goths;Goths;FALSE;Malians;6;0;0%;0,00;Arabia;;
17/02/2024;22:30 UTC;[Age of Empires II];Fight Club Monthly #3 [Fight Club Monthly/3];MegaRandom [MegaRandom];1v1;OvercomeCloud74 [OvercomeCloud74 (page does not exist)] [Mexico] [Mexico] [Byzantines] [Byzantines];<;Faith2Adventure [Goths] [Goths] [United States] [United States] [Faith2Adventure];;Byzantines;Goths;Goths;FALSE;Mapuche;0;0;0%;0,00;Arabia;;
17/02/2024;20:30 UTC;[Age of Empires II];Fight Club Monthly #3 [Fight Club Monthly/3];MegaRandom [MegaRandom];1v1;LIAMOR425 [LIAMOR425 (page does not exist)] [United States] [United States] [Malians] [Malians];<;SoloGhostAK47 [Mongols] [Mongols] [United States] [United States] [SoloGhostAK47];;Malians;Mongols;Mongols;FALSE;Mayans;0;0;0%;0,00;Arabia;;
17/02/2024;03:45 UTC;[Age of Empires II];Fight Club Monthly #3 [Fight Club Monthly/3];MegaRandom [MegaRandom];1v1;CrazyBball4life [CrazyBball4life (page does not exist)] [United States] [United States] [Malay] [Malay];<;SoloGhostAK47 [Berbers] [Berbers] [United States] [United States] [SoloGhostAK47];;Malay;Berbers;Berbers;FALSE;Mongols;46;22;48%;61,69;Arabia;;
16/02/2024;03:00 UTC;[Age of Empires II];Fight Club Monthly #3 [Fight Club Monthly/3];MegaRandom [MegaRandom];1v1;MLG Sniper17449 [MLG Sniper17449 (page does not exist)] [United States] [United States] [Tatars] [Tatars];<;Faith2Adventure [Berbers] [Berbers] [United States] [United States] [Faith2Adventure];;Tatars;Berbers;Berbers;FALSE;Muisca;0;0;0%;0,00;Arabia;;
13/02/2024;14:00 UTC;[Age of Empires II];Fight Club Monthly #3 [Fight Club Monthly/3];MegaRandom [MegaRandom];1v1;Critter12088382 [Critter12088382 (page does not exist)] [United States] [United States] [Cumans] [Cumans];<;xXDeltaXFadesXx [Saracens] [Saracens] [United States] [United States] [XXDeltaXFadesXx (page does not exist)];;Cumans;Saracens;Saracens;FALSE;Persians;16;10;63%;69,07;Arabia;;
21/01/2024;01:00 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;Zotico3 [Zotico3 (page does not exist)] [United States] [United States] [Mongols] [Mongols];>;D4NI3L J0N35 [Mongols] [Mongols] [Wales] [Wales] [D4NI3L J0N35 (page does not exist)];;Mongols;Mongols;Mongols;TRUE;Poles;7;5;71%;66,96;Arabia;;
20/01/2024;22:00 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;BeaverMan5 [BeaverMan5] [Estonia] [Estonia] [Magyars] [Magyars];<;Faith2Adventure [Goths] [Goths] [United States] [United States] [Faith2Adventure];;Magyars;Goths;Goths;FALSE;Portuguese;12;6;50%;58,62;Arabia;;
20/01/2024;22:00 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;Zotico3 [Zotico3 (page does not exist)] [United States] [United States] [Hindustanis] [Hindustanis];>;SoloGhostAK47 [Tatars] [Tatars] [United States] [United States] [SoloGhostAK47];;Hindustanis;Tatars;Hindustanis;FALSE;Puru;0;0;0%;0,00;Arabia;;
20/01/2024;03:00 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;SpaciousBunion5 [SpaciousBunion5 (page does not exist)] [Chile] [Chile] [Tatars] [Tatars];<;BeaverMan5 [Vietnamese] [Vietnamese] [Estonia] [Estonia] [BeaverMan5];;Tatars;Vietnamese;Vietnamese;FALSE;Romans;2;1;50%;53,11;Arabia;;
