Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Thames;Total matches;33
;;;;;;;;;;;;;;Mayans;1;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Mongols;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Muisca;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Persians;2;1;50%;58,49;Thames;;
;;;;;;;;;;;;;;Poles;1;1;100%;77,21;Thames;;
;;;;;;;;;;;;;;Portuguese;3;1;33%;32,73;Thames;;
;;;;;;;;;;;;;;Puru;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Romans;1;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Saracens;5;3;60%;71,42;Thames;;
;;;;;;;;;;;;;;Shu;2;1;50%;58,49;Thames;;
;;;;;;;;;;;;;;Sicilians;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Slavs;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Spanish;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Tatars;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Teutons;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Tupi;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Turks;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Vietnamese;5;5;100%;108,76;Thames;;
;;;;;;;;;;;;;;Vikings;1;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;Wei;8;7;88%;103,83;Thames;;
;;;;;;;;;;;;;;Wu;0;0;0%;0,00;Thames;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
