Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Strandred;Total matches;258
11/02/2026;21:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;F1Re [F1Re] [Brazil] [Brazil] [Lithuanians] [Lithuanians];<;Sobek [Dravidians] [Dravidians] [Chile] [Chile] [Sobek];(G3) [Watch VOD] [Watch VOD];Lithuanians;Dravidians;Dravidians;FALSE;Khitans;1;0;0%;0,00;Strandred;;
11/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Kasva [Kasva] [Turkey] [Turkey] [Koreans] [Koreans];>;classicpro [Persians] [Persians] [Ukraine] [Ukraine] [Classicpro];(G1) [Watch VOD] [Watch VOD];Koreans;Persians;Koreans;FALSE;Khmer;8;3;38%;44,61;Strandred;;
11/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;GoKu [GoKu] [Brazil] [Brazil] [Malians] [Malians];<;NeoZz [Chinese] [Chinese] [France] [France] [NeoZz];(G2) [Watch VOD] [Watch VOD];Malians;Chinese;Chinese;FALSE;Koreans;40;21;53%;64,53;Strandred;;
10/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Lithuanians] [Lithuanians];>;Gabi [Koreans] [Koreans] [Brazil] [Brazil] [Gabi];(G3) [Watch VOD] [Watch VOD];Lithuanians;Koreans;Lithuanians;FALSE;Lithuanians;16;7;44%;54,52;Strandred;;
10/02/2026;14:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;saymyname [Saymyname] [Vietnam] [Vietnam] [Koreans] [Koreans];<;Youpudding [Dravidians] [Dravidians] [Taiwan] [Taiwan] [Youpudding];(G1) [Watch VOD] [Watch VOD];Koreans;Dravidians;Dravidians;FALSE;Magyars;2;0;0%;0,00;Strandred;;
09/02/2026;17:40 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Italians] [Italians];<;Sebastian [Persians] [Persians] [Uruguay] [Uruguay] [Sebastian];(G1) [Watch VOD] [Watch VOD];Italians;Persians;Persians;FALSE;Malay;14;6;43%;53,76;Strandred;;
09/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;miguel [Miguel] [Brazil] [Brazil] [Georgians] [Georgians];>;Overtaken [Saracens] [Saracens] [Estonia] [Estonia] [Overtaken];(G2) [Watch VOD] [Watch VOD];Georgians;Saracens;Georgians;FALSE;Malians;46;25;54%;67,01;Strandred;;
08/02/2026;23:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Nahue05 [Nahuel05] [Argentina] [Argentina] [Malians] [Malians];>;St4rk [Italians] [Italians] [Brazil] [Brazil] [St4rk];(G2) [Watch VOD] [Watch VOD];Malians;Italians;Malians;FALSE;Mapuche;0;0;0%;0,00;Strandred;;
08/02/2026;16:30 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Stranded (2020) [Stranded (2020)];1v1;Šteukoo [Šteukoo (page does not exist)] [Slovakia] [Slovakia] [Dravidians] [Dravidians];>;woaF [Shu] [Shu] [Slovakia] [Slovakia] [WoaF (page does not exist)];;Dravidians;Shu;Dravidians;FALSE;Mayans;12;3;25%;17,06;Strandred;;
08/02/2026;15:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;ThunderboltX [ThunderboltX] [Bulgaria] [Bulgaria] [Mayans] [Mayans];<;Whocl [Malians] [Malians] [Chile] [Chile] [DreamCl];(G1) [Watch VOD] [Watch VOD];Mayans;Malians;Malians;FALSE;Mongols;5;1;20%;11,38;Strandred;;
