Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Strandred;Total matches;110
01/02/2026;21:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;m0re [M0re] [Spain] [Spain] [Wu] [Wu];<;Nahue05 [Georgians] [Georgians] [Argentina] [Argentina] [Nahuel05];(G2) [Watch VOD] [Watch VOD];Wu;Georgians;Georgians;FALSE;Muisca;1;1;100%;60,93;Strandred;;
01/02/2026;14:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Whocl [DreamCl] [Chile] [Chile] [Japanese] [Japanese];<;Dr.Kozmonot [Georgians] [Georgians] [Turkey] [Turkey] [Dr.Kozmonot];(G1) [Watch VOD] [Watch VOD];Japanese;Georgians;Georgians;FALSE;Persians;15;9;60%;70,68;Strandred;;
29/01/2026;18:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;miguel [Miguel] [Brazil] [Brazil] [Bengalis] [Bengalis];<;Prisma09 [Japanese] [Japanese] [Argentina] [Argentina] [Prisma09];(G1) [Watch VOD] [Watch VOD];Bengalis;Japanese;Japanese;FALSE;Poles;0;0;0%;0,00;Strandred;;
28/01/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Target331 [Target331] [Germany] [Germany] [Portuguese] [Portuguese];<;NeoZz [Dravidians] [Dravidians] [France] [France] [NeoZz];(G1) [Watch VOD] [Watch VOD];Portuguese;Dravidians;Dravidians;FALSE;Portuguese;4;2;33%;39,35;Strandred;;
27/01/2026;08:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Khmer] [Khmer];>;Survivalist [Shu] [Shu] [Canada] [Canada] [Survivalist];(G3) [Watch VOD] [Watch VOD];Khmer;Shu;Khmer;FALSE;Puru;0;0;0%;0,00;Strandred;;
26/01/2026;14:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Saymyname [Saymyname] [Vietnam] [Vietnam] [Georgians] [Georgians];>;Ozone [Shu] [Shu] [Colombia] [Colombia] [Ozone];(G3) [Watch VOD] [Watch VOD];Georgians;Shu;Georgians;FALSE;Romans;4;0;0%;0,00;Strandred;;
22/01/2026;13:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;saymyname [Saymyname] [Vietnam] [Vietnam] [Italians] [Italians];>;chart [Mayans] [Mayans] [Japan] [Japan] [Chart];(G3) [Watch VOD] [Watch VOD];Italians;Mayans;Italians;FALSE;Saracens;2;0;0%;0,00;Strandred;;
21/01/2026;04:20 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Celts] [Celts];<;Combito [Italians] [Italians] [Mexico] [Mexico] [Combito];(G2) [Watch VOD] [Watch VOD];Celts;Italians;Italians;FALSE;Shu;4;0;0%;0,00;Strandred;;
20/01/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;m0re [M0re] [Spain] [Spain] [Huns] [Huns];<;St4rk [Dravidians] [Dravidians] [Brazil] [Brazil] [St4rk];(G1) [Watch VOD] [Watch VOD];Huns;Dravidians;Dravidians;FALSE;Sicilians;1;0;0%;0,00;Strandred;;
19/01/2026;15:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;NeoZz [NeoZz] [France] [France] [Georgians] [Georgians];>;Blve [Romans] [Romans] [Taiwan] [Taiwan] [Blve (page does not exist)];(G2) [Watch VOD] [Watch VOD];Georgians;Romans;Georgians;FALSE;Slavs;0;0;0%;0,00;Strandred;;
