Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;37
22/04/2021;11:30 UTC;[Age of Empires II];grathwrang Showmatch - JorDan_AoE vs Villese [Grathwrang/Showmatch/JorDan AoE vs Villese];MegaRandom [MegaRandom];1v1;Villese [Villese] [Finland] [Finland] [Berbers] [Berbers];>;JorDan_AoE [Mongols] [Mongols] [Germany] [Germany] [JorDan AoE];(G3) [Watch VOD] [Watch VOD];Berbers;Mongols;Berbers;FALSE;Mayans;0;0;0%;0,00;Arabia;;
10/04/2021;20:55 UTC;[Age of Empires II];ObaTheGreatt Showmatch - bruh vs GoKu [Bruh vs GoKu];MegaRandom [MegaRandom];1v1;GoKu [GoKu] [Brazil] [Brazil] [Britons] [Britons];<;bruh [Maya] [Maya] [Brazil] [Brazil] [BruH];(G6) [Watch VOD] [Watch VOD];Britons;Maya;Maya;FALSE;Mongols;8;6;75%;89,35;Arabia;;
03/04/2021;07:30 UTC;[Age of Empires II];grathwrang Showmatch - BacT vs slam [Grathwrang/Showmatch/BacT vs slam];MegaRandom [MegaRandom];1v1;slam [Slam] [Canada] [Canada] [Maya] [Maya];>;BacT [Mongols] [Mongols] [Vietnam] [Vietnam] [BacT];(G3) [Watch VOD] [Watch VOD];Maya;Mongols;Maya;FALSE;Muisca;0;0;0%;0,00;Arabia;;
13/02/2021;20:00 UTC;[Age of Empires II];OGN_EMPIRES Showmatch - PROject_Belgium vs Sitaux [PROject Belgium vs Sitaux/2];MegaRandom [MegaRandom];1v1;Sitaux [Sitaux] [France] [France] [Berbers] [Berbers];<;PROject_Belgium [Japanese] [Japanese] [Belgium] [Belgium] [PROject Belgium];(G7) [Watch VOD] [Watch VOD];Berbers;Japanese;Japanese;FALSE;Persians;3;1;33%;32,85;Arabia;;
30/01/2021;20:00 UTC;[Age of Empires II];OGN_EMPIRES Showmatch - PROject_Belgium vs Sitaux [PROject Belgium vs Sitaux/1];MegaRandom [MegaRandom];1v1;Sitaux [Sitaux] [France] [France] [Berbers] [Berbers];<;PROject_Belgium [Japanese] [Japanese] [Belgium] [Belgium] [PROject Belgium];(G7) [Watch VOD] [Watch VOD];Berbers;Japanese;Japanese;FALSE;Poles;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Portuguese;5;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Puru;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Romans;1;1;100%;75,22;Arabia;;
;;;;;;;;;;;;;;Saracens;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Shu;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Sicilians;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Slavs;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Spanish;2;1;50%;58,07;Arabia;;
;;;;;;;;;;;;;;Tatars;1;1;100%;75,22;Arabia;;
;;;;;;;;;;;;;;Teutons;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Tupi;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Turks;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Vietnamese;1;1;100%;75,22;Arabia;;
;;;;;;;;;;;;;;Vikings;1;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Wei;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;Wu;0;0;0%;0,00;Arabia;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
