Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Fortified Clearing;Total matches;205
31/10/2025;17:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Gabi [Gabi] [Brazil] [Brazil] [Portuguese] [Portuguese];>;Fedex [Malay] [Malay] [Argentina] [Argentina] [Fedex];(G3) [Watch VOD] [Watch VOD];Portuguese;Malay;Portuguese;FALSE;Japanese;0;0;0%;0,00;Fortified Clearing;;
31/10/2025;15:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Mastyjames [Mastyjames (page does not exist)] [United States] [United States] [Khitans] [Khitans];>;Dennis [Wei] [Wei] [Hong Kong] [Hong Kong] [Dennis];(G3) [Watch VOD] [Watch VOD];Khitans;Wei;Khitans;FALSE;Jurchens;1;1;100%;56,32;Fortified Clearing;;
30/10/2025;17:30 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Wean Dinchester [Wean Dinchester] [Austria] [Austria] [Burgundians] [Burgundians];>;Nahue05 [Cumans] [Cumans] [Argentina] [Argentina] [Nahuel05];(G3) [Watch VOD] [Watch VOD];Burgundians;Cumans;Burgundians;FALSE;Khitans;3;2;67%;57,98;Fortified Clearing;;
30/10/2025;;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Etherias [Etherias (page does not exist)] [Spain] [Spain] [Cumans] [Cumans];<;DM_The_Death [Malians] [Malians] [Spain] [Spain] [DM The Death (page does not exist)];(G3) [Watch VOD] [Watch VOD];Cumans;Malians;Malians;FALSE;Khmer;13;6;46%;56,13;Fortified Clearing;;
26/10/2025;20:15 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Dobbs351 [Dobbs351] [Denmark] [Denmark] [Celts] [Celts];<;Wean Dinchester [Turks] [Turks] [Austria] [Austria] [Wean Dinchester];(G1) [Watch VOD] [Watch VOD];Celts;Turks;Turks;FALSE;Koreans;1;0;0%;0,00;Fortified Clearing;;
26/10/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;wawa90 [Wawa90 (page does not exist)] [Hungary] [Hungary] [Burgundians] [Burgundians];<;peppsi96 [Franks] [Franks] [Hungary] [Hungary] [Peppsi96 (page does not exist)];(G3) [Watch VOD] [Watch VOD];Burgundians;Franks;Franks;FALSE;Lithuanians;6;5;83%;69,71;Fortified Clearing;;
26/10/2025;16:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;steak [Steak] [United Kingdom] [United Kingdom] [Portuguese] [Portuguese];<;Emu Warrior [Khitans] [Khitans] [United States] [United States] [Emu Warrior (page does not exist)];(G2) [Watch VOD] [Watch VOD];Portuguese;Khitans;Khitans;FALSE;Magyars;0;0;0%;0,00;Fortified Clearing;;
25/10/2025;10:05 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Duke Thompson [Duke Thompson (page does not exist)] [Uruguay] [Uruguay] [Wei] [Wei];<;Poxo [Burgundians] [Burgundians] [Spain] [Spain] [Poxo];(G3) [Watch VOD] [Watch VOD];Wei;Burgundians;Burgundians;FALSE;Malay;20;10;50%;60,32;Fortified Clearing;;
19/10/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;szatyorfülü [Szatyorfülü (page does not exist)] [Hungary] [Hungary] [Malians] [Malians];<;Jugger [Romans] [Romans] [Hungary] [Hungary] [Jugger (Hungarian Player) (page does not exist)];(G1) [Watch VOD] [Watch VOD];Malians;Romans;Romans;FALSE;Malians;5;3;60%;58,99;Fortified Clearing;;
19/10/2025;14:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Foskito [Foskito (page does not exist)] [Spain] [Spain] [Hindustanis] [Hindustanis];<;Bazing Hood [Burmese] [Burmese] [Spain] [Spain] [Bazing Hood (page does not exist)];(G3) [Watch VOD] [Watch VOD];Hindustanis;Burmese;Burmese;FALSE;Mapuche;0;0;0%;0,00;Fortified Clearing;;
