Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;795
18/10/2025;14:00 UTC;[Age of Empires II];Championnat Francophone: Saison 13 [Championnat Francophone/13];Kawasan [Kawasan];1v1;Aubin [Aubin (page does not exist)] [France] [France] [Dravidians] [Dravidians];<;nono12 [Celts] [Celts] [France] [France] [Nono12 (page does not exist)];;Dravidians;Celts;Celts;FALSE;Jurchens;0;0;0%;0,00;Kawasan;;
11/10/2025;14:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Italians] [Italians];<;peppsi96 [Khitans] [Khitans] [Hungary] [Hungary] [Peppsi96 (page does not exist)];(G2) [Watch VOD] [Watch VOD];Italians;Khitans;Khitans;FALSE;Khitans;1;1;100%;51,75;Kawasan;;
11/10/2025;03:00 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Kawasan [Kawasan];1v1;GaaRa [GaaRa (page does not exist)] [Mexico] [Mexico] [Japanese] [Japanese];<;Keno [Hindustanis] [Hindustanis] [Mexico] [Mexico] [Keno];;Japanese;Hindustanis;Hindustanis;FALSE;Khmer;17;4;24%;16,00;Kawasan;;
11/10/2025;01:00 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Kawasan [Kawasan];1v1;Moon [Moon (page does not exist)] [Mexico] [Mexico] [Georgians] [Georgians];<;SiNisTeR [Wu] [Wu] [Mexico] [Mexico] [SiNisTeR (page does not exist)];;Georgians;Wu;Wu;FALSE;Koreans;5;2;40%;50,95;Kawasan;;
10/10/2025;03:00 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Kawasan [Kawasan];1v1;The Lord Daniel [The Lord Daniel (page does not exist)] [Mexico] [Mexico] [Lithuanians] [Lithuanians];<;themariach1 [Vietnamese] [Vietnamese] [Mexico] [Mexico] [Themariach1];;Lithuanians;Vietnamese;Vietnamese;FALSE;Lithuanians;113;55;49%;60,61;Kawasan;;
25/09/2025;18:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Lui [Lui (page does not exist)] [Hungary] [Hungary] [Persians] [Persians];>;wawa90 [Georgians] [Georgians] [Hungary] [Hungary] [Wawa90 (page does not exist)];(G1) [Watch VOD] [Watch VOD];Persians;Georgians;Persians;FALSE;Magyars;14;4;29%;24,66;Kawasan;;
21/09/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Nessius Blaze [Nessius Blaze (page does not exist)] [Hungary] [Hungary] [Wu] [Wu];<;Hrafn_the_Berzerker [Byzantines] [Byzantines] [Hungary] [Hungary] [Hrafn the Berzerker (page does not exist)];(G3) [Watch VOD] [Watch VOD];Wu;Byzantines;Byzantines;FALSE;Malay;31;8;24%;16,33;Kawasan;;
14/09/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;witcherkiller [Witcherkiller (page does not exist)] [Hungary] [Hungary] [Chinese] [Chinese];<;TheTivadar [Portuguese] [Portuguese] [Hungary] [Hungary] [TheTivadar (page does not exist)];(G1) [Watch VOD] [Watch VOD];Chinese;Portuguese;Portuguese;FALSE;Malians;112;42;37%;43,75;Kawasan;;
11/09/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Dravidians] [Dravidians];<;Rideg [Malians] [Malians] [Hungary] [Hungary] [Rideg];(G2) [Watch VOD] [Watch VOD];Dravidians;Malians;Malians;FALSE;Mapuche;0;0;0%;0,00;Kawasan;;
08/09/2025;17:30 UTC;[Age of Empires II];Svenska Age-Ligan Fall 2025: Elitserien [Svenska Age-Ligan/2025/Fall];Kawasan [Kawasan];1v1;Kaeften [Kaeften (page does not exist)] [Sweden] [Sweden] [Persians] [Persians];>;Frost 9 [Vikings] [Vikings] [Sweden] [Sweden] [Frost 9];;Persians;Vikings;Persians;FALSE;Mayans;12;6;50%;54,00;Kawasan;;
07/09/2025;18:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Jugger [Jugger (Hungarian Player) (page does not exist)] [Hungary] [Hungary] [Romans] [Romans];<;Latig [Japanese] [Japanese] [Hungary] [Hungary] [Latig (page does not exist)];(G3) [Watch VOD] [Watch VOD];Romans;Japanese;Japanese;FALSE;Mongols;34;17;50%;57,22;Kawasan;;
07/09/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;krysuxie [Krysuxie (page does not exist)] [Hungary] [Hungary] [Japanese] [Japanese];<;GyoreE [Chinese] [Chinese] [Hungary] [Hungary] [GyoreE (page does not exist)];(G2) [Watch VOD] [Watch VOD];Japanese;Chinese;Chinese;FALSE;Muisca;0;0;0%;0,00;Kawasan;;
