Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Fortified Clearing;Total matches;461
10/11/2025;19:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Gabi [Gabi] [Brazil] [Brazil] [Portuguese] [Portuguese];<;Target331 [Lithuanians] [Lithuanians] [Germany] [Germany] [Target331];(G4) [Watch VOD] [Watch VOD];Portuguese;Lithuanians;Lithuanians;FALSE;Magyars;0;0;0%;0,00;Fortified Clearing;;
09/11/2025;20:00 UTC;[Age of Empires II];T90 Titans League 5: Silver Replacement Qualifier [T90 Titans League/5/Silver Replacement Qualifier];Fortified Clearing [Fortified Clearing];1v1;IXAM [IXAM (page does not exist)] [Argentina] [Argentina] [Poles] [Poles];<;El_Matador [Turks] [Turks] [Germany] [Germany] [El Matador];(G4) [Watch VOD] [Watch VOD];Poles;Turks;Turks;FALSE;Malay;51;22;43%;55,07;Fortified Clearing;;
09/11/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;Marty McFly [Marty McFly (page does not exist)] [Slovakia] [Slovakia] [Dravidians] [Dravidians];<;Latig [Jurchens] [Jurchens] [Hungary] [Hungary] [Latig (page does not exist)];(G3) [Watch VOD] [Watch VOD];Dravidians;Jurchens;Jurchens;FALSE;Malians;9;4;44%;52,99;Fortified Clearing;;
09/11/2025;16:25 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Survivalist [Survivalist] [Canada] [Canada] [Portuguese] [Portuguese];<;AntagonisT [Malay] [Malay] [Russia] [Russia] [IAnTaGoNiStI];(G1) [Watch VOD] [Watch VOD];Portuguese;Malay;Malay;FALSE;Mapuche;0;0;0%;0,00;Fortified Clearing;;
06/11/2025;16:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;PoXoLo [PoXoLo] [Spain] [Spain] [Burmese] [Burmese];>;Thomas Sankara [Spanish] [Spanish] [Spain] [Spain] [Thomas Sankara (page does not exist)];;Burmese;Spanish;Burmese;FALSE;Mayans;3;2;67%;54,18;Fortified Clearing;;
06/11/2025;15:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Lamo [Lamo] [Latvia] [Latvia] [Burgundians] [Burgundians];<;chart [Hindustanis] [Hindustanis] [Japan] [Japan] [Chart];(G4) [Watch VOD] [Watch VOD];Burgundians;Hindustanis;Hindustanis;FALSE;Mongols;5;1;20%;11,88;Fortified Clearing;;
04/11/2025;19:30 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;behemoth [Behemoth (page does not exist)] [Hungary] [Hungary] [Portuguese] [Portuguese];<;overkill [Turks] [Turks] [Hungary] [Hungary] [Overkill (page does not exist)];(G3) [Watch VOD] [Watch VOD];Portuguese;Turks;Turks;FALSE;Muisca;0;0;0%;0,00;Fortified Clearing;;
02/11/2025;19:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Thofou [Thofou (page does not exist)] [Belgium] [Belgium] [Poles] [Poles];>;NeoZz [Hindustanis] [Hindustanis] [France] [France] [NeoZz];(G4) [Watch VOD] [Watch VOD];Poles;Hindustanis;Poles;FALSE;Persians;5;1;20%;11,88;Fortified Clearing;;
02/11/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;wawa90 [Wawa90 (page does not exist)] [Hungary] [Hungary] [Spanish] [Spanish];>;Nessius Blaze [Armenians] [Armenians] [Hungary] [Hungary] [Nessius Blaze (page does not exist)];(G2) [Watch VOD] [Watch VOD];Spanish;Armenians;Spanish;FALSE;Poles;57;31;54%;65,09;Fortified Clearing;;
02/11/2025;15:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;Rideg [Rideg] [Hungary] [Hungary] [Mongols] [Mongols];>;Adel [Byzantines] [Byzantines] [Hungary] [Hungary] [Adel (page does not exist)];(G3) [Watch VOD] [Watch VOD];Mongols;Byzantines;Mongols;FALSE;Portuguese;38;14;37%;42,32;Fortified Clearing;;
02/11/2025;13:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Thành C? Qu?ng Tr? [Thành C? Qu?ng Tr?] [Vietnam] [Vietnam] [Chinese] [Chinese];<;Babaorum [Ethiopians] [Ethiopians] [France] [France] [Babaorum];;Chinese;Ethiopians;Ethiopians;FALSE;Puru;0;0;0%;0,00;Fortified Clearing;;
01/11/2025;09:30 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Tomate [Tomate] [Spain] [Spain] [Poles] [Poles];>;C3mbrich [Bohemians] [Bohemians] [Spain] [Spain] [C3mbrich];;Poles;Bohemians;Poles;FALSE;Romans;4;2;50%;52,71;Fortified Clearing;;
01/11/2025;02:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Inc [Inc] [United States] [United States] [Burgundians] [Burgundians];>;chart [Hindustanis] [Hindustanis] [Japan] [Japan] [Chart];;Burgundians;Hindustanis;Burgundians;FALSE;Saracens;16;8;50%;56,50;Fortified Clearing;;
31/10/2025;17:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Gabi [Gabi] [Brazil] [Brazil] [Portuguese] [Portuguese];>;Fedex [Malay] [Malay] [Argentina] [Argentina] [Fedex];(G3) [Watch VOD] [Watch VOD];Portuguese;Malay;Portuguese;FALSE;Shu;2;1;50%;51,57;Fortified Clearing;;
31/10/2025;17:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Emu Warrior [Emu Warrior (page does not exist)] [United States] [United States] [Khitans] [Khitans];<;AntagonisT [Burgundians] [Burgundians] [Russia] [Russia] [IAnTaGoNiStI];(G3) [Watch VOD] [Watch VOD];Khitans;Burgundians;Burgundians;FALSE;Sicilians;3;1;33%;34,84;Fortified Clearing;;
31/10/2025;15:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Mastyjames [Mastyjames (page does not exist)] [United States] [United States] [Khitans] [Khitans];>;Dennis [Wei] [Wei] [Hong Kong] [Hong Kong] [Dennis];(G3) [Watch VOD] [Watch VOD];Khitans;Wei;Khitans;FALSE;Slavs;5;1;20%;11,88;Fortified Clearing;;
31/10/2025;10:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;DanMT [DanMT] [United Kingdom] [United Kingdom] [Spanish] [Spanish];>;wide [Bengalis] [Bengalis] [Russia] [Russia] [Wide];;Spanish;Bengalis;Spanish;FALSE;Spanish;27;15;56%;61,86;Fortified Clearing;;
30/10/2025;17:30 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Wean Dinchester [Wean Dinchester] [Austria] [Austria] [Burgundians] [Burgundians];>;Nahue05 [Cumans] [Cumans] [Argentina] [Argentina] [Nahuel05];(G3) [Watch VOD] [Watch VOD];Burgundians;Cumans;Burgundians;FALSE;Tatars;4;0;0%;0,00;Fortified Clearing;;
30/10/2025;11:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Lamo [Lamo] [Latvia] [Latvia] [Shu] [Shu];<;El_Matador [Turks] [Turks] [Germany] [Germany] [El Matador];;Shu;Turks;Turks;FALSE;Teutons;17;5;29%;25,30;Fortified Clearing;;
30/10/2025;;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Etherias [Etherias (page does not exist)] [Spain] [Spain] [Cumans] [Cumans];<;DM_The_Death [Malians] [Malians] [Spain] [Spain] [DM The Death (page does not exist)];(G3) [Watch VOD] [Watch VOD];Cumans;Malians;Malians;FALSE;Tupi;0;0;0%;0,00;Fortified Clearing;;
29/10/2025;17:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;saps_ [Saps] [Romania] [Romania] [Turks] [Turks];<;Terz [Burgundians] [Burgundians] [Germany] [Germany] [Terz];;Turks;Burgundians;Burgundians;FALSE;Turks;87;43;49%;62,41;Fortified Clearing;;
26/10/2025;22:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Deaf Vader [Deaf Vader (page does not exist)] [United States] [United States] [Romans] [Romans];<;Uzzi [Cumans] [Cumans] [Mexico] [Mexico] [Uzzi];;Romans;Cumans;Cumans;FALSE;Vietnamese;14;7;50%;56,06;Fortified Clearing;;
26/10/2025;20:15 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Dobbs351 [Dobbs351] [Denmark] [Denmark] [Celts] [Celts];<;Wean Dinchester [Turks] [Turks] [Austria] [Austria] [Wean Dinchester];(G1) [Watch VOD] [Watch VOD];Celts;Turks;Turks;FALSE;Vikings;1;1;100%;52,97;Fortified Clearing;;
26/10/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;wawa90 [Wawa90 (page does not exist)] [Hungary] [Hungary] [Burgundians] [Burgundians];<;peppsi96 [Franks] [Franks] [Hungary] [Hungary] [Peppsi96 (page does not exist)];(G3) [Watch VOD] [Watch VOD];Burgundians;Franks;Franks;FALSE;Wei;6;1;17%;8,03;Fortified Clearing;;
26/10/2025;16:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;steak [Steak] [United Kingdom] [United Kingdom] [Portuguese] [Portuguese];<;Emu Warrior [Khitans] [Khitans] [United States] [United States] [Emu Warrior (page does not exist)];(G2) [Watch VOD] [Watch VOD];Portuguese;Khitans;Khitans;FALSE;Wu;1;0;0%;0,00;Fortified Clearing;;
26/10/2025;12:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;dog9you [Dog9you (page does not exist)] [Hong Kong] [Hong Kong] [Britons] [Britons];>;Moneimon [Burgundians] [Burgundians] [Spain] [Spain] [Moneimon];;Britons;Burgundians;Britons;FALSE;;;;;;Fortified Clearing;;
26/10/2025;;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Foskito [Foskito (page does not exist)] [Spain] [Spain] [Bohemians] [Bohemians];<;Joselu9710 [Turks] [Turks] [Spain] [Spain] [Joselu9710 (page does not exist)];;Bohemians;Turks;Turks;FALSE;;;;;;Fortified Clearing;;
25/10/2025;19:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;noah23 [Noah23 (page does not exist)] [United States] [United States] [Turks] [Turks];>;deaKer [Portuguese] [Portuguese] [Argentina] [Argentina] [DeaKer];;Turks;Portuguese;Turks;FALSE;;;;;;Fortified Clearing;;
25/10/2025;18:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;TheKroks [TheKroks (page does not exist)] [Poland] [Poland] [Poles] [Poles];<;Spaden [Burgundians] [Burgundians] [Sweden] [Sweden] [Spaden];;Poles;Burgundians;Burgundians;FALSE;;;;;;Fortified Clearing;;
25/10/2025;14:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Abejorro [Abejorro (page does not exist)] [Mexico] [Mexico] [Burgundians] [Burgundians];<;Bad Koala [Bengalis] [Bengalis] [China] [China] [Bad Koala];;Burgundians;Bengalis;Bengalis;FALSE;;;;;;Fortified Clearing;;
25/10/2025;12:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;King_Marv [King Marv] [Germany] [Germany] [Burmese] [Burmese];<;Thofou [Burgundians] [Burgundians] [Belgium] [Belgium] [Thofou (page does not exist)];;Burmese;Burgundians;Burgundians;FALSE;;;;;;Fortified Clearing;;
25/10/2025;10:05 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Duke Thompson [Duke Thompson (page does not exist)] [Uruguay] [Uruguay] [Wei] [Wei];<;Poxo [Burgundians] [Burgundians] [Spain] [Spain] [Poxo];(G3) [Watch VOD] [Watch VOD];Wei;Burgundians;Burgundians;FALSE;;;;;;Fortified Clearing;;
25/10/2025;02:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Favre4ever [Favre4ever (page does not exist)] [United States] [United States] [Burgundians] [Burgundians];>;Inc [Aztecs] [Aztecs] [United States] [United States] [Inc];;Burgundians;Aztecs;Burgundians;FALSE;;;;;;Fortified Clearing;;
24/10/2025;14:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;m4rco [M4rco (page does not exist)] [Spain] [Spain] [Turks] [Turks];<;Moneimon [Burgundians] [Burgundians] [Spain] [Spain] [Moneimon];;Turks;Burgundians;Burgundians;FALSE;;;;;;Fortified Clearing;;
24/10/2025;10:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;dave_hun [Dave hun] [Hungary] [Hungary] [Bohemians] [Bohemians];>;Salted Pepper [Byzantines] [Byzantines] [Netherlands] [Netherlands] [Salted Pepper];;Bohemians;Byzantines;Bohemians;FALSE;;;;;;Fortified Clearing;;
