Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;202
29/07/2025;13:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;lyx [Lyx] [China] [China] [Malay] [Malay];<;XuanLv [Franks] [Franks] [China] [China] [XuanLv (page does not exist)];(G2) [Watch VOD] [Watch VOD];Malay;Franks;Franks;FALSE;Khmer;4;2;50%;54,74;Kawasan;;
27/07/2025;14:45 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;IBUYPOWER [IBUYPOWER] [China] [China] [Persians] [Persians];<;lyx [Malay] [Malay] [China] [China] [Lyx];(G4) [Watch VOD] [Watch VOD];Persians;Malay;Malay;FALSE;Koreans;0;0;0%;0,00;Kawasan;;
26/07/2025;14:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Persians] [Persians];>;IBUYPOWER [Persians] [Persians] [China] [China] [IBUYPOWER];(G1) [Watch VOD] [Watch VOD];Persians;Persians;Persians;TRUE;Lithuanians;29;13;45%;57,12;Kawasan;;
25/07/2025;15:30 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Z40 [Z40] [Taiwan] [Taiwan] [Portuguese] [Portuguese];>;MING [Byzantines] [Byzantines] [Hong Kong] [Hong Kong] [Ming (Hong Kongese player)];(G1) [Watch VOD] [Watch VOD];Portuguese;Byzantines;Portuguese;FALSE;Magyars;7;3;43%;53,19;Kawasan;;
25/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;lyx [Lyx] [China] [China] [Portuguese] [Portuguese];<;XuanLv [Portuguese] [Portuguese] [China] [China] [XuanLv (page does not exist)];(G4) [Watch VOD] [Watch VOD];Portuguese;Portuguese;Portuguese;TRUE;Malay;6;2;33%;34,05;Kawasan;;
22/07/2025;14:30 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Bad Koala [Bad Koala] [China] [China] [Japanese] [Japanese];<;Beigu [Portuguese] [Portuguese] [China] [China] [Beigu (page does not exist)];(G3) [Watch VOD] [Watch VOD];Japanese;Portuguese;Portuguese;FALSE;Malians;24;12;50%;61,10;Kawasan;;
21/07/2025;01:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Watters [Watters (page does not exist)] [Argentina] [Argentina] [Byzantines] [Byzantines];<;TomS [Celts] [Celts] [Argentina] [Argentina] [TomS];(G1) [Watch VOD] [Watch VOD];Byzantines;Celts;Celts;FALSE;Mapuche;0;0;0%;0,00;Kawasan;;
19/07/2025;16:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Atila Fiorito [Atila Fiorito (page does not exist)] [Argentina] [Argentina] [Georgians] [Georgians];<;Nuñez Knight [Lithuanians] [Lithuanians] [Argentina] [Argentina] [NunezKnight];(G1) [Watch VOD] [Watch VOD];Georgians;Lithuanians;Lithuanians;FALSE;Mayans;4;1;25%;18,35;Kawasan;;
18/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Beigu [Beigu (page does not exist)] [China] [China] [Japanese] [Japanese];<;Daniel [Persians] [Persians] [United States] [United States] [Daniel];(G2) [Watch VOD] [Watch VOD];Japanese;Persians;Persians;FALSE;Mongols;6;4;67%;62,94;Kawasan;;
17/07/2025;02:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Anakin [Anakin] [Argentina] [Argentina] [Wu] [Wu];>;Johnix.ramone [Italians] [Italians] [Argentina] [Argentina] [Johnix.ramone (page does not exist)];(G1) [Watch VOD] [Watch VOD];Wu;Italians;Wu;FALSE;Muisca;0;0;0%;0,00;Kawasan;;
