Mapa;Mi_Civ;Civ_Rival;Partidas;Victorias;Win_Rate
African_Clearing;georgians;bulgarians;18;9;0,5
African_Clearing;georgians;burgundians;15;5;0,3333333333333333
African_Clearing;georgians;burmese;10;5;0,5
African_Clearing;georgians;byzantines;13;8;0,6153846153846154
African_Clearing;georgians;celts;16;6;0,375
African_Clearing;georgians;chinese;78;22;0,28205128205128205
African_Clearing;georgians;cumans;26;11;0,4230769230769231
African_Clearing;georgians;dravidians;20;10;0,5
African_Clearing;georgians;ethiopians;16;3;0,1875
African_Clearing;georgians;franks;12;8;0,6666666666666666
African_Clearing;georgians;georgians;38;19;0,5
African_Clearing;georgians;goths;26;13;0,5
African_Clearing;georgians;gurjaras;21;12;0,5714285714285714
African_Clearing;georgians;hindustanis;41;23;0,5609756097560976
African_Clearing;georgians;huns;107;33;0,308411214953271
African_Clearing;georgians;incas;16;10;0,625
African_Clearing;georgians;italians;12;4;0,3333333333333333
African_Clearing;georgians;japanese;28;14;0,5
African_Clearing;georgians;jurchens;2;1;0,5
African_Clearing;georgians;khitans;2;1;0,5
African_Clearing;georgians;khmer;41;19;0,4634146341463415
African_Clearing;georgians;koreans;29;19;0,6551724137931034
African_Clearing;georgians;lithuanians;23;12;0,5217391304347826
African_Clearing;georgians;magyars;34;17;0,5
African_Clearing;georgians;malay;21;12;0,5714285714285714
African_Clearing;georgians;malians;30;15;0,5
African_Clearing;georgians;mayans;31;17;0,5483870967741935
African_Clearing;georgians;mongols;153;57;0,37254901960784315
African_Clearing;georgians;persians;33;19;0,5757575757575758
African_Clearing;georgians;poles;12;6;0,5
African_Clearing;georgians;portuguese;22;11;0,5
African_Clearing;georgians;romans;17;10;0,5882352941176471
African_Clearing;georgians;saracens;22;11;0,5
