Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;492
06/01/2026;20:30 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dragonstar [The Dragonstar] [India] [India] [Khitans] [Khitans];>;Gravity [Vietnamese] [Vietnamese] [India] [India] [Gravity (page does not exist)];(G2) [Watch VOD] [Watch VOD];Khitans;Vietnamese;Khitans;FALSE;Sicilians;1;0;0%;0,00;Arabia;;
06/01/2026;20:30 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dragonstar [The Dragonstar] [India] [India] [Jurchens] [Jurchens];>;Gravity [Persians] [Persians] [India] [India] [Gravity (page does not exist)];(G1) [Watch VOD] [Watch VOD];Jurchens;Persians;Jurchens;FALSE;Slavs;8;4;50%;54,19;Arabia;;
06/01/2026;20:30 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;n0_chanc3 [N0 chanc3 (page does not exist)] [India] [India] [Persians] [Persians];<;Dragonstar [Jurchens] [Jurchens] [India] [India] [The Dragonstar];(G1) [Watch VOD] [Watch VOD];Persians;Jurchens;Jurchens;FALSE;Spanish;2;2;100%;55,35;Arabia;;
05/01/2026;17:00 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;adduOP [AdduOP (page does not exist)] [India] [India] [Mongols] [Mongols];>;PlanB [Berbers] [Berbers] [India] [India] [PlanB (page does not exist)];(G2) [Watch VOD] [Watch VOD];Mongols;Berbers;Mongols;FALSE;Tatars;13;2;15%;6,26;Arabia;;
05/01/2026;17:00 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;adduOP [AdduOP (page does not exist)] [India] [India] [Koreans] [Koreans];>;PlanB [Jurchens] [Jurchens] [India] [India] [PlanB (page does not exist)];(G1) [Watch VOD] [Watch VOD];Koreans;Jurchens;Koreans;FALSE;Teutons;4;1;25%;19,10;Arabia;;
04/01/2026;15:30 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Jurchens] [Jurchens];>;Lucky23 [Wu] [Wu] [India] [India] [Lucky23 (page does not exist)];(G2) [Watch VOD] [Watch VOD];Jurchens;Wu;Jurchens;FALSE;Tupi;0;0;0%;0,00;Arabia;;
04/01/2026;15:30 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Magyars] [Magyars];>;Lucky23 [Gurjaras] [Gurjaras] [India] [India] [Lucky23 (page does not exist)];(G1) [Watch VOD] [Watch VOD];Magyars;Gurjaras;Magyars;FALSE;Turks;1;0;0%;0,00;Arabia;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Georgians] [Georgians];<;Hera [Burgundians] [Burgundians] [Canada] [Canada] [Hera];(G9) [Watch VOD] [Watch VOD];Georgians;Burgundians;Burgundians;FALSE;Vietnamese;63;28;44%;56,49;Arabia;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Wei] [Wei];>;Hera [Vietnamese] [Vietnamese] [Canada] [Canada] [Hera];(G8) [Watch VOD] [Watch VOD];Wei;Vietnamese;Wei;FALSE;Vikings;25;12;48%;56,67;Arabia;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Japanese] [Japanese];<;Hera [Chinese] [Chinese] [Canada] [Canada] [Hera];(G7) [Watch VOD] [Watch VOD];Japanese;Chinese;Chinese;FALSE;Wei;24;14;58%;62,44;Arabia;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Malians] [Malians];>;Hera [Tatars] [Tatars] [Canada] [Canada] [Hera];(G6) [Watch VOD] [Watch VOD];Malians;Tatars;Malians;FALSE;Wu;11;3;22%;14,62;Arabia;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Chinese] [Chinese];<;Hera [Gurjaras] [Gurjaras] [Canada] [Canada] [Hera];(G5) [Watch VOD] [Watch VOD];Chinese;Gurjaras;Gurjaras;FALSE;;;;;;;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Slavs] [Slavs];<;Hera [Armenians] [Armenians] [Canada] [Canada] [Hera];(G4) [Watch VOD] [Watch VOD];Slavs;Armenians;Armenians;FALSE;;;;;;;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Shu] [Shu];>;Hera [Lithuanians] [Lithuanians] [Canada] [Canada] [Hera];(G3) [Watch VOD] [Watch VOD];Shu;Lithuanians;Shu;FALSE;;;;;;;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Spanish] [Spanish];>;Hera [Ethiopians] [Ethiopians] [Canada] [Canada] [Hera];(G2) [Watch VOD] [Watch VOD];Spanish;Ethiopians;Spanish;FALSE;;;;;;;;
21/12/2025;17:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Inca] [Inca];<;Hera [Poles] [Poles] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Inca;Poles;Poles;FALSE;;;;;;;;
20/12/2025;18:55 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Khitans] [Khitans];>;Vinchester [Chinese] [Chinese] [Russia] [Russia] [Vinchester];(G5) [Watch VOD] [Watch VOD];Khitans;Chinese;Khitans;FALSE;;;;;;;;
20/12/2025;18:55 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Bohemians] [Bohemians];<;Vinchester [Inca] [Inca] [Russia] [Russia] [Vinchester];(G4) [Watch VOD] [Watch VOD];Bohemians;Inca;Inca;FALSE;;;;;;;;
